1000,0,8737,0:00:00.002997,1000
1000,0,8721,0:00:00.002007,1000
1000,0,8686,0:00:00.004024,1000
1000,0,8653,0:00:00.002984,1000
1000,0,8715,0:00:00.002009,1000
1000,0,55312,0:00:00.017001,5000
1000,0,55251,0:00:00.016999,5000
1000,0,55255,0:00:00.017009,5000
1000,0,55209,0:00:00.017000,5000
1000,0,55202,0:00:00.017005,5000
1000,0,120481,0:00:00.036988,10000
1000,0,120436,0:00:00.036001,10000
1000,0,120349,0:00:00.035332,10000
1000,0,120458,0:00:00.034252,10000
1000,0,120318,0:00:00.034011,10000
1000,0,717982,0:00:00.207996,50000
1000,0,718251,0:00:00.203017,50000
1000,0,718143,0:00:00.199999,50000
1000,0,718068,0:00:00.204998,50000
1000,0,717958,0:00:00.205009,50000
1000,0,1536047,0:00:00.429025,100000
1000,0,1536672,0:00:00.450026,100000
1000,0,1535947,0:00:00.433973,100000
1000,0,1536136,0:00:00.434019,100000
1000,0,1535928,0:00:00.424020,100000
1000,0,8835609,0:00:02.494034,500000
1000,0,8835751,0:00:02.486040,500000
1000,0,8835771,0:00:02.548475,500000
1000,0,8835595,0:00:02.600023,500000
1000,0,8835298,0:00:02.515093,500000
1000,0,18670467,0:00:05.461502,1000000
1000,0,18670206,0:00:05.620091,1000000
1000,0,18669836,0:00:06.056130,1000000
1000,0,18670288,0:00:05.887915,1000000
1000,0,18670284,0:00:05.580056,1000000
1000,0,105029235,0:00:31.297470,5000000
1000,0,105024822,0:00:31.734497,5000000
1000,0,105026780,0:00:31.397826,5000000
1000,0,105025898,0:00:30.702543,5000000
1000,0,105026632,0:00:30.662248,5000000
1000,0,220051576,0:01:04.959031,10000000
1000,0,220053540,0:01:05.276693,10000000
1000,0,220051335,0:01:05.239009,10000000
1000,0,220046895,0:01:04.786800,10000000
1000,0,220048044,0:01:04.745631,10000000
5000,0,8694,0:00:00.003000,1000
5000,0,8716,0:00:00.004010,1000
5000,0,8714,0:00:00.005002,1000
5000,0,8702,0:00:00.003990,1000
5000,0,8725,0:00:00.003004,1000
5000,0,55163,0:00:00.017022,5000
5000,0,55234,0:00:00.015999,5000
5000,0,55278,0:00:00.017999,5000
5000,0,55197,0:00:00.016998,5000
5000,0,55229,0:00:00.016992,5000
5000,0,120449,0:00:00.034549,10000
5000,0,120450,0:00:00.035597,10000
5000,0,120548,0:00:00.034999,10000
5000,0,120488,0:00:00.035603,10000
5000,0,120495,0:00:00.035010,10000
5000,0,718205,0:00:00.200749,50000
5000,0,717953,0:00:00.201979,50000
5000,0,718124,0:00:00.202595,50000
5000,0,717980,0:00:00.210016,50000
5000,0,718510,0:00:00.205001,50000
5000,0,1536373,0:00:00.437031,100000
5000,0,1536626,0:00:00.432027,100000
5000,0,1536318,0:00:00.429057,100000
5000,0,1536097,0:00:00.431996,100000
5000,0,1536284,0:00:00.435055,100000
5000,0,8837061,0:00:02.569539,500000
5000,0,8836527,0:00:02.560813,500000
5000,0,8836882,0:00:02.553042,500000
5000,0,8837173,0:00:02.557864,500000
5000,0,8836944,0:00:02.551086,500000
5000,0,18673423,0:00:05.502256,1000000
5000,0,18674196,0:00:05.460559,1000000
5000,0,18673352,0:00:05.465800,1000000
5000,0,18673645,0:00:05.483850,1000000
5000,0,18673959,0:00:05.467081,1000000
5000,0,105047518,0:00:31.771788,5000000
5000,0,105046881,0:00:32.129836,5000000
5000,0,105046151,0:00:31.876227,5000000
5000,0,105047220,0:00:31.763986,5000000
5000,0,105043943,0:00:31.775993,5000000
5000,0,220092592,0:01:07.649777,10000000
5000,0,220089679,0:01:07.520000,10000000
5000,0,220093284,0:01:07.267422,10000000
5000,0,220095229,0:01:07.448270,10000000
5000,0,220092965,0:01:07.503971,10000000
10000,0,8719,0:00:00.002997,1000
10000,0,8712,0:00:00.003975,1000
10000,0,8706,0:00:00.003988,1000
10000,0,8725,0:00:00.002988,1000
10000,0,8684,0:00:00.003978,1000
10000,0,55252,0:00:00.017016,5000
10000,0,55218,0:00:00.015998,5000
10000,0,55180,0:00:00.016000,5000
10000,0,55277,0:00:00.017001,5000
10000,0,55315,0:00:00.015993,5000
10000,0,120458,0:00:00.037058,10000
10000,0,120458,0:00:00.034601,10000
10000,0,120418,0:00:00.036835,10000
10000,0,120397,0:00:00.036146,10000
10000,0,120432,0:00:00.034009,10000
10000,0,718044,0:00:00.200010,50000
10000,0,718072,0:00:00.203999,50000
10000,0,717933,0:00:00.204272,50000
10000,0,718096,0:00:00.199019,50000
10000,0,718084,0:00:00.202015,50000
10000,0,1535974,0:00:00.434000,100000
10000,0,1536459,0:00:00.431994,100000
10000,0,1536211,0:00:00.433104,100000
10000,0,1536197,0:00:00.433026,100000
10000,0,1536407,0:00:00.431000,100000
10000,0,8836818,0:00:02.575167,500000
10000,0,8836944,0:00:02.569972,500000
10000,0,8836977,0:00:02.567087,500000
10000,0,8838063,0:00:02.559697,500000
10000,0,8837666,0:00:02.547373,500000
10000,0,18673982,0:00:05.455362,1000000
10000,0,18674955,0:00:05.582929,1000000
10000,0,18674613,0:00:05.635568,1000000
10000,0,18674991,0:00:05.477898,1000000
10000,0,18674361,0:00:05.516815,1000000
10000,0,105049269,0:00:32.197613,5000000
10000,0,105051717,0:00:32.226907,5000000
10000,0,105047619,0:00:31.811916,5000000
10000,0,105049399,0:00:31.817611,5000000
10000,0,105048377,0:00:31.737880,5000000
10000,0,220096845,0:01:08.087538,10000000
10000,0,220095651,0:01:07.996645,10000000
10000,0,220095430,0:01:07.892794,10000000
10000,0,220099411,0:01:07.851452,10000000
10000,0,220096919,0:01:07.766525,10000000
50000,0,8705,0:00:00.003000,1000
50000,0,8677,0:00:00.003000,1000
50000,0,8725,0:00:00.003001,1000
50000,0,8719,0:00:00.002999,1000
50000,0,8710,0:00:00.003000,1000
50000,0,55160,0:00:00.015997,5000
50000,0,55215,0:00:00.017007,5000
50000,0,55204,0:00:00.016998,5000
50000,0,55228,0:00:00.016006,5000
50000,0,55225,0:00:00.016997,5000
50000,0,120606,0:00:00.034997,10000
50000,0,120436,0:00:00.039999,10000
50000,0,120463,0:00:00.035999,10000
50000,0,120511,0:00:00.041999,10000
50000,0,120390,0:00:00.037005,10000
50000,0,718218,0:00:00.202095,50000
50000,0,718352,0:00:00.201000,50000
50000,0,718471,0:00:00.205003,50000
50000,0,718048,0:00:00.203005,50000
50000,0,718274,0:00:00.202996,50000
50000,0,1536456,0:00:00.433998,100000
50000,0,1536309,0:00:00.437014,100000
50000,0,1536551,0:00:00.432119,100000
50000,0,1536576,0:00:00.448000,100000
50000,0,1536107,0:00:00.441999,100000
50000,0,8837754,0:00:02.593572,500000
50000,0,8836174,0:00:02.568700,500000
50000,0,8836898,0:00:02.565053,500000
50000,0,8837073,0:00:02.585156,500000
50000,0,8836717,0:00:02.576245,500000
50000,0,18674528,0:00:05.537845,1000000
50000,0,18674318,0:00:05.497045,1000000
50000,0,18674795,0:00:05.528268,1000000
50000,0,18674798,0:00:05.504447,1000000
50000,0,18674264,0:00:05.552341,1000000
50000,0,105050146,0:00:32.293163,5000000
50000,0,105050542,0:00:32.180339,5000000
50000,0,105048801,0:00:32.145659,5000000
50000,0,105048903,0:00:32.056576,5000000
50000,0,105051343,0:00:32.143737,5000000
50000,0,220095535,0:01:08.834885,10000000
50000,0,220099705,0:01:08.458051,10000000
50000,0,220098181,0:01:10.171650,10000000
50000,0,220100828,0:01:09.323048,10000000
50000,0,220102468,0:01:09.168152,10000000
100000,0,8714,0:00:00.003000,1000
100000,0,8701,0:00:00.003002,1000
100000,0,8695,0:00:00.003992,1000
100000,0,8702,0:00:00.002999,1000
100000,0,8708,0:00:00.002998,1000
100000,0,55222,0:00:00.016021,5000
100000,0,55247,0:00:00.015985,5000
100000,0,55247,0:00:00.016998,5000
100000,0,55240,0:00:00.017009,5000
100000,0,55250,0:00:00.017988,5000
100000,0,120405,0:00:00.034002,10000
100000,0,120472,0:00:00.035001,10000
100000,0,120374,0:00:00.035011,10000
100000,0,120484,0:00:00.036998,10000
100000,0,120460,0:00:00.034004,10000
100000,0,718309,0:00:00.204017,50000
100000,0,718309,0:00:00.206671,50000
100000,0,717960,0:00:00.201021,50000
100000,0,718386,0:00:00.203999,50000
100000,0,718059,0:00:00.200989,50000
100000,0,1536444,0:00:00.440444,100000
100000,0,1536502,0:00:00.434429,100000
100000,0,1536345,0:00:00.436120,100000
100000,0,1536576,0:00:00.432025,100000
100000,0,1536158,0:00:00.433868,100000
100000,0,8837180,0:00:02.599277,500000
100000,0,8837613,0:00:02.591969,500000
100000,0,8837086,0:00:02.590484,500000
100000,0,8837056,0:00:02.597676,500000
100000,0,8836861,0:00:02.616404,500000
100000,0,18674823,0:00:05.591180,1000000
100000,0,18673927,0:00:05.541582,1000000
100000,0,18674951,0:00:05.601790,1000000
100000,0,18673765,0:00:05.733486,1000000
100000,0,18673893,0:00:05.526413,1000000
100000,0,105052860,0:00:31.958970,5000000
100000,0,105050239,0:00:32.092799,5000000
100000,0,105050030,0:00:31.945802,5000000
100000,0,105046640,0:00:32.031332,5000000
100000,0,105051132,0:00:31.905228,5000000
100000,0,220102831,0:01:07.962331,10000000
100000,0,220095651,0:01:09.052189,10000000
100000,0,220099686,0:01:10.023644,10000000
100000,0,220098745,0:01:10.392366,10000000
100000,0,220100827,0:01:09.621490,10000000
500000,0,8739,0:00:00.003000,1000
500000,0,8697,0:00:00.002999,1000
500000,0,8700,0:00:00.002998,1000
500000,0,8719,0:00:00.004003,1000
500000,0,8720,0:00:00.004001,1000
500000,0,55241,0:00:00.016999,5000
500000,0,55265,0:00:00.017003,5000
500000,0,55328,0:00:00.017997,5000
500000,0,55167,0:00:00.016995,5000
500000,0,55211,0:00:00.017995,5000
500000,0,120348,0:00:00.034005,10000
500000,0,120428,0:00:00.034980,10000
500000,0,120443,0:00:00.034985,10000
500000,0,120437,0:00:00.034006,10000
500000,0,120521,0:00:00.036996,10000
500000,0,718146,0:00:00.218003,50000
500000,0,718128,0:00:00.205982,50000
500000,0,717957,0:00:00.214982,50000
500000,0,718131,0:00:00.217016,50000
500000,0,718122,0:00:00.208984,50000
500000,0,1536451,0:00:00.446030,100000
500000,0,1536435,0:00:00.445999,100000
500000,0,1536623,0:00:00.443997,100000
500000,0,1536055,0:00:00.444994,100000
500000,0,1536449,0:00:00.447006,100000
500000,0,8837575,0:00:02.650988,500000
500000,0,8837836,0:00:02.627322,500000
500000,0,8837092,0:00:02.604089,500000
500000,0,8836873,0:00:02.649849,500000
500000,0,8836545,0:00:02.651002,500000
500000,0,18673317,0:00:05.579289,1000000
500000,0,18674190,0:00:05.618048,1000000
500000,0,18674286,0:00:05.649350,1000000
500000,0,18673510,0:00:05.646354,1000000
500000,0,18674256,0:00:05.634337,1000000
500000,0,105049680,0:00:32.781051,5000000
500000,0,105050121,0:00:32.781573,5000000
500000,0,105048979,0:00:32.819338,5000000
500000,0,105051214,0:00:32.729664,5000000
500000,0,105052688,0:00:32.726659,5000000
500000,0,220100551,0:01:09.667541,10000000
500000,0,220096498,0:01:09.712975,10000000
500000,0,220103377,0:01:08.045114,10000000
500000,0,220099896,0:01:08.102123,10000000
500000,0,220100398,0:01:08.087893,10000000
1000000,0,8710,0:00:00.003000,1000
1000000,0,8707,0:00:00.003997,1000
1000000,0,8691,0:00:00.003009,1000
1000000,0,8719,0:00:00.003991,1000
1000000,0,8716,0:00:00.001999,1000
1000000,0,55149,0:00:00.016187,5000
1000000,0,55188,0:00:00.015996,5000
1000000,0,55297,0:00:00.015998,5000
1000000,0,55229,0:00:00.015997,5000
1000000,0,55187,0:00:00.016008,5000
1000000,0,120438,0:00:00.033999,10000
1000000,0,120484,0:00:00.034009,10000
1000000,0,120469,0:00:00.035994,10000
1000000,0,120430,0:00:00.034999,10000
1000000,0,120659,0:00:00.034999,10000
1000000,0,717936,0:00:00.201018,50000
1000000,0,718262,0:00:00.202998,50000
1000000,0,718257,0:00:00.201003,50000
1000000,0,718114,0:00:00.201995,50000
1000000,0,717841,0:00:00.199009,50000
1000000,0,1536028,0:00:00.428019,100000
1000000,0,1536944,0:00:00.429008,100000
1000000,0,1536502,0:00:00.432006,100000
1000000,0,1536292,0:00:00.431012,100000
1000000,0,1536664,0:00:00.436016,100000
1000000,0,8837023,0:00:02.567027,500000
1000000,0,8837042,0:00:02.587322,500000
1000000,0,8837439,0:00:02.579563,500000
1000000,0,8837330,0:00:02.568713,500000
1000000,0,8837459,0:00:02.574022,500000
1000000,0,18673956,0:00:05.506073,1000000
1000000,0,18674035,0:00:05.552388,1000000
1000000,0,18673815,0:00:05.593067,1000000
1000000,0,18673982,0:00:05.503086,1000000
1000000,0,18673778,0:00:05.509615,1000000
